[Sun Sep  7 02:22:52 PM UTC 2025] 🔐 mdm.Authenticate received
UDID: unknown
[Sun Sep  7 02:25:47 PM UTC 2025] 🔐 mdm.Authenticate received
UDID: ABC123
[Sun Sep  7 02:27:32 PM UTC 2025] 🔐 mdm.Authenticate received
UDID: unknown
[Sun Sep  7 02:42:21 PM UTC 2025] 🔐 mdm.Authenticate received
UDID: 
[Sun Sep  7 03:06:17 PM UTC 2025] 🔐 mdm.Authenticate received
UDID: 
[Sun Sep  7 03:16:14 PM UTC 2025] 🔐 mdm.Authenticate received | UDID: <?xml version="1.0" encoding="UTF-8"?>
[Sun Sep  7 03:28:43 PM UTC 2025] 🔐 mdm.Authenticate received | UDID: 89sd899hkjjkjh8998sd8kkjjkjhds899
[Sun Sep  7 05:34:42 PM UTC 2025] 🔐 mdm.Authenticate received | UDID: 89sd899hkjjkjh8998sd8kkjjkjhds899
[Sun Sep  7 05:41:30 PM UTC 2025] 🔐 mdm.Authenticate received | UDID: 89sd899hkjjkjh8998sd8kkjjkjhds899
[Mon Sep  8 04:31:06 AM UTC 2025] 🔐 mdm.Authenticate received | UDID: 89sd899hkjjkjh8998sd8kkjjkjhds899
[Mon Sep  8 04:46:37 AM UTC 2025] 🔐 mdm.Authenticate received | UDID: 89sd899hkjjkjh8998sd8kkjjkjhds899
[Mon Sep  8 05:21:15 AM UTC 2025] 🔐 mdm.Authenticate received | UDID: 89sd899hkjjkjh8998sd8kkjjkjhds899
[Mon Sep  8 08:09:14 AM UTC 2025] 🔐 mdm.Authenticate received | UDID: 89sd899hkjjkjh8998sd8kkjjkjhds899
[Mon Sep  8 10:44:48 AM UTC 2025] 🔐 mdm.Authenticate received | UDID: 89sd899hkjjkjh8998sd8kkjjkjhds899
[Mon Sep  8 10:50:37 AM UTC 2025] 🔐 mdm.Authenticate received | UDID: 89sd899hkjjkjh8998sd8kkjjkjhds899
[Mon Sep  8 10:56:20 AM UTC 2025] 🔐 mdm.Authenticate received | UDID: 89sd899hkjjkjh8998sd8kkjjkjhds899
[Mon Sep  8 11:16:23 AM UTC 2025] 🔐 mdm.Authenticate received | UDID: 89sd899hkjjkjh8998sd8kkjjkjhds899
[Mon Sep  8 11:21:49 AM UTC 2025] 🔐 mdm.Authenticate received | UDID: 89sd899hkjjkjh8998sd8kkjjkjhds899
[Mon Sep  8 11:22:56 AM UTC 2025] 🔐 mdm.Authenticate received | UDID: 89sd899hkjjkjh8998sd8kkjjkjhds899
[Mon Sep  8 11:23:56 AM UTC 2025] 🔐 mdm.Authenticate received | UDID: 89sd899hkjjkjh8998sd8kkjjkjhds899
[Mon Sep  8 11:24:40 AM UTC 2025] 🔐 mdm.Authenticate received | UDID: 89sd899hkjjkjh8998sd8kkjjkjhds899
[Mon Sep  8 11:27:58 AM UTC 2025] 🔐 mdm.Authenticate received | UDID: 89sd899hkjjkjh8998sd8kkjjkjhds899
[Mon Sep  8 11:42:30 AM UTC 2025] 🔐 mdm.Authenticate received | UDID: 89sd899hkjjkjh8998sd8kkjjkjhds899
[Mon Sep  8 11:43:12 AM UTC 2025] 🔐 mdm.Authenticate received | UDID: 89sd899hkjjkjh8998sd8kkjjkjhds899
[Mon Sep  8 12:17:41 PM UTC 2025] 🔐 mdm.Authenticate received | UDID: 89sd899hkjjkjh8998sd8kkjjkjhds899
[Mon Sep  8 12:23:21 PM UTC 2025] 🔐 mdm.Authenticate received | UDID: 89sd899hkjjkjh8998sd8kkjjkjhds899
[Mon Sep  8 12:28:41 PM UTC 2025] 🔐 mdm.Authenticate received | UDID: 89sd899hkjjkjh8998sd8kkjjkjhds899
[Mon Sep  8 12:30:38 PM UTC 2025] 🔐 mdm.Authenticate received | UDID: 89sd899hkjjkjh8998sd8kkjjkjhds899
